,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,joshi_sushma,"Writer, filmmaker, artist.    
Question the science.
Alum of: Brown University, New School For Social Research.","Kathmandu, Nepal",4129,4213,94489,0,"Most vaccinated country USA heads the list of most covid deaths, as if September 15, 2021. 
At the bottom are the least vaccinated countries, with the least deaths.
Americans: ""You uneducated Third World conspiracy theorist! Get vaccinated right now!""
https://t.co/1NXjRTcy74 https://t.co/MCg9T3OFxg",[]
1,LevyLoiseau,Pitchipoï,"Mont-Tremblant, Québec",3356,2080,327881,18,"#coronavirus 
""HOLY MARY, MOTHER OF GOD"" tweeting disinfo agent ""Dr. Eric Feigl-Ding"" @DrEricDing deletes tweet after exposed by @ferrisjabr for ""missing essential context &amp; numerous errors.""
FURTHER, Soros #ColorRevolution matrix employee.🤣
#2019nCOV
https://t.co/pzjW6a2t4O https://t.co/OIyA0Y6EQa",['coronavirus']
2,Yib_Chen,間歇性躊躇滿志，持續性混吃等死。,,124,2,3,0,"@kavi_starks @zlj517 Hey bro,open your eyes,take a look around yourself,you even couldn’t keep your health without China,at least,China have donated so many vaccine of 2019nCov for free to India.And,by the way,gratitude is the most basic virtue of humankind.",[]
3,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,"New article: The age-standardized incidence, mortality, and case fatality rates of COVID-19 among 79 countries: cross-sectional comparison and their correlation with associated factors https://t.co/CmvsmhcESs #coronavirus #COVID19 #2019ncov https://t.co/JAw0sZmuMy","['coronavirus', 'COVID19', '2019ncov']"
4,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Impact of the COVID-19 pandemic on operations in general surgery clinics in Turkey https://t.co/gXpqNQY6WF #coronavirus #COVID19 #2019ncov https://t.co/EjOCDatcbX,"['coronavirus', 'COVID19', '2019ncov']"
5,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Prevalence and molecular characteristics of feline coronavirus in southwest China from 2017 to 2020 https://t.co/gVubkWEbCb #coronavirus #COVID19 #2019ncov https://t.co/B8ScMiD3ws,"['coronavirus', 'COVID19', '2019ncov']"
6,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: COVID-19 transmission and the safety of air travel during the pandemic: a scoping review https://t.co/TGklCkk8ep #coronavirus #COVID19 #2019ncov https://t.co/BdHAfKbR2r,"['coronavirus', 'COVID19', '2019ncov']"
7,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Right Ventricular Dysfunction and Its Association With Mortality in Coronavirus Disease 2019 Acute Respiratory Distress Syndrome: Do Not Focus on Not Reliable Markers! https://t.co/1DKIzWOGNt #coronavirus #COVID19 #2019ncov https://t.co/OpobMmjQNA,"['coronavirus', 'COVID19', '2019ncov']"
8,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Autopsy-Based Pulmonary and Vascular Pathology: Pulmonary Endotheliitis and Multi-Organ Involvement in COVID-19 Associated Deaths https://t.co/MxIQ6vBl0Q #coronavirus #COVID19 #2019ncov https://t.co/wc3EvEVOJ7,"['coronavirus', 'COVID19', '2019ncov']"
9,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Acceptance Rates and Beliefs toward COVID-19 Vaccination among the General Population of Pakistan: A Cross-Sectional Survey https://t.co/qdavMJWKDT #coronavirus #COVID19 #2019ncov https://t.co/Zyu2OL8UIq,"['coronavirus', 'COVID19', '2019ncov']"
10,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Is preexisting immunity to seasonal coronaviruses limited to cross-reactivity with SARS-CoV-2? A seroprevalence cross-sectional study in north-eastern France https://t.co/zhyI7Px5Jm #coronavirus #COVID19 #2019ncov https://t.co/twoH0rWiuL,"['coronavirus', 'COVID19', '2019ncov']"
11,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Antihypertensive drug treatment and susceptibility to SARS-CoV-2 infection in human PSC-derived cardiomyocytes and primary endothelial cells https://t.co/rYFHh2qejr #coronavirus #COVID19 #2019ncov https://t.co/7QLE6jo0Kd,"['coronavirus', 'COVID19', '2019ncov']"
12,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,New article: Social interaction is a catalyst for adult human learning in online contexts https://t.co/IB7E09c4V3 #coronavirus #COVID19 #2019ncov https://t.co/z5UVvRYEcO,"['coronavirus', 'COVID19', '2019ncov']"
13,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,"In the news: Our Views: Research the answers to deadly toll of obesity, coronavirus in Louisiana - The Advocate https://t.co/4edm4RJu3X #coronavirus #COVID19 #2019ncov","['coronavirus', 'COVID19', '2019ncov']"
14,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,In the news: Boston-area coronavirus wastewater tracker: Descent could be 'earliest sign' of region ... https://t.co/zfBzFqWeix #coronavirus #COVID19 #2019ncov,"['coronavirus', 'COVID19', '2019ncov']"
15,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,"In the news: Ohio AG claims Biden coronavirus mandate is illegal, but he won't get into specifics - Ohio ... https://t.co/Ws0FhwMebF #coronavirus #COVID19 #2019ncov","['coronavirus', 'COVID19', '2019ncov']"
16,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,"In the news: NYC bus, subway ridership reaches highest point since start of coronavirus pandemic - https://t.co/WuTF2HPbCl https://t.co/yPHzHMYPZC #coronavirus #COVID19 #2019ncov","['coronavirus', 'COVID19', '2019ncov']"
17,PaperbirdsH,Paperbirds_coronavirus is an initiative committed to deliver unbiased daily literature updates about the COVID-19 outbreak to health care professionals,,3,225,56588,0,In the news: New Mexico coronavirus cases set for decline | Local News | https://t.co/tHmZu4mSe5 https://t.co/C3qKYq531O #coronavirus #COVID19 #2019ncov,"['coronavirus', 'COVID19', '2019ncov']"
