,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Shubham85109997,,,60,9,7419,74,"My request to all- please take preventive measures to avoid infection. Basic self-preventive measures are enough, practice good hygiene and most important - Don't panic Folded hands

#CoronaAlert #CoronaOutbreak 

@MoHFW_INDIA @drharshvardhan @ArvindKejriwal  @WHOSEARO https://t.co/WZsfQcwTtM",[]
1,KemiOlunloyo,"Investigative Journalist, Activist, Clinical Pharmacist, PR Specialist #Covid19Expert Bookings and Adverts kemitalksmedia@yahoo.com",Nigeria,3,308385,124343,3,"#Ijcovid19 798 Positive for #COVID19 in UK🇬🇧10 dead⚰️☠️

#CoronaOutbreak #CoronaVirusUpdates","['Ijcovid19', 'COVID19', 'CoronaOutbreak', 'CoronaVirusUpdates']"
2,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,1,"Your New Home is Like a Tree on Which the Branches of Beautiful Memories will grow. 
Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444

#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona #LiveLife #SaveLife l #indialockdown #StayAtHome https://t.co/yglmCK9rk2","['StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona', 'LiveLife', 'SaveLife', 'indialockdown', 'StayAtHome']"
3,RanjitN33940480,Blogger and Digital Marketer.,,26,6,1650,1,Little away more than 2 months to go for durga pujo festival committees are getting the preparation of drive-in-concepts to bengali's biggest festival keeping social distancing &amp; all guidelines in allowing the glimpse of durga idol &amp; pandal for pandal-hoppers amid #CoronaOutbreak https://t.co/TLLCxGjDb4,[]
4,SarathiAKAddict,🏍Thala Ajith kumar🏏Smith⚽Messi🎼ARR ♟Carlson🎬Jhonny Depp🔩 MechLover🔧,"Tamil Nadu, India",842,39,6979,4,"Jus a few months back, Countries were boasting of their ‘NUCLEAR’ capabilities
But now all of them are ‘UNCLEAR’ about their survival bcos of a tiny microscopic entity #CoronavirusPandemic #Covid_19 #CoronaVirusUpdate #coronavirus #CoronaOutbreak 
UNIVERSE is a great Leveller",[]
5,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,626,1022,0,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
6,BenPrerna,,,16,1,1676,201,"Where are you getting your information on #CoronaVirus?

Always double check the facts before sharing by using a reliable source. Here's who you can trust. 

#COVID19 #SwasthaBharat #HealthForAll #CoronaOutbreak https://t.co/bs22woFBIB",['CoronaVirus']
7,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,1,"Looking to start your real estate investment? Make a move, take the first step with #shubh_shagun and let’s guide you through the process.
Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444
#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona https://t.co/2plLCwSqVb","['shubh_shagun', 'StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona']"
8,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift']"
9,SacredHologram,"⚗️Sacred Hologram INC ⚗️Author, Speaker, Artist, Intuitive🌙🔮 #amwriting #writerslift #WritingCommunity #vss365 💫 👁🛎@KatherineTHoppe","Los Angeles, CA",1804,1686,1604,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
10,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
11,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,626,1022,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
12,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,1,"Get your piece of land at #replant and build your Dream Home at one of the most premium locations

Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444

#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona #LiveLife #SaveLife l #indialockdown https://t.co/HVcvVMjnU8","['replant', 'StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona', 'LiveLife', 'SaveLife', 'indialockdown']"
