,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,jeananncord,"I would rather die on my feet than live on my knees. Emiliano Zapata. BLM, M4A, Viva la Raza. Peace Activist.💚",,4325,3441,29492,0,@quemaj @DeeFonta Hmmm.  India has a vaccination rate of 12% verses the U.S with 60%... https://t.co/vbVnNKlZ1L,[]
1,renate_siekmann,"Business woman, “Rights and Freedoms” activist, globetrotter, proud mother of 4","Vancouver, British Columbia",275,939,2056,0,"Passports and mandated jabs are violations of Canadian Human Rights. 

“I see it as a violation of my own belief system, which I haven’t shared publicly, but I will do so in the form of a creed that can be used as a human rights exemption,” 

https://t.co/B6Ydh9txom",[]
2,scicommdaniel,he/they • research & #SciComm w/ @alexcr_1 @BeccaCalisi • intern @StemAdvocacy • EIC @aggietranscript • neuro/writing @ucdavisbiology '21,"Patwin Land (Davis, CA)",1041,578,2298,38,"A great, thoughtful piece by @bennessb about thinking through vaccination decisions as a person with complex chronic illness. Recommended. https://t.co/rZYJsntDUE",[]
3,ConnieCurran5,,,136,10,127,2945,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
4,martynpepperell,Grouper laughed at me on Karangahape Road.,Aotearoa,4116,6159,116619,0,"It took awhile to line it up, but I had my first vaccination today. Current mood: relaxing on the couch.",[]
5,Desi_Bellerose,Clinical Social Worker. Reality TV connoisseur. A Sagittarius who lives for drama and chocolate. Enthusiastic fan of #BBUS and #BBCAN,"Boston, MA",332,454,17391,0,@xwannaminajx @yung_bells @DrJasonJohnson That’s fair enough. I’d like to see her check the conservatives who are now using her tweets to spread more misinformation and fear monger. And sit down w/ a black expert who can explain the vaccine and the implications of vaccination for the black community specifically.,[]
6,lachiemc64,"Victorian nurse
Pay attention all the time
Note what you're told2pay attention2&look far beyond or even in the opposite direction
Have a say in what is news.",land of the Wurundjeri people ,1220,807,76964,0,"@jonkudelka Ah, nothing like a half billion dollar distraction combined with more populist electioneering with all the meaning of a flea beating its chest.
Let the wedgies begin. Meanwhile we are all expected to have a blind trust in vaccination roll outs and national quarantine.",[]
7,ninja91191,do no harm; take no shit. Saving 💰 for a Model S donations are welcome ||thanks for Model 3 donations,,368,47,5272,2,"Be part of the action TOMORROW! #TeamToronto’s #DaysofVaxtion, a city-wide series of pop-up #COVID19 vaccination clinics for first and second doses, starts Sept 16. Details: https://t.co/a69fFxmqfP https://t.co/qTMDkaxuyP","['TeamToronto', 'DaysofVaxtion', 'COVID19']"
8,BarbDavies373,"Hypnotherapist, Counsellor, Hypnosis Instructor & Coach. Libertarian who loves travel, wine & golf. #EndHumanTrafficking #NoVaccinePassports #VotePPC","Thunder Bay, ON Canada",28180,36006,122588,69,"BREAKING: Alberta Jason Kenney declares ""state of public health emergency,"" predicting Alberta will run out of ICU beds in next 10 days. Kenney calls for three steps: Maximize healthcare capacity, reduce transmission by reducing interactions, increase vaccination.",[]
9,iamLucretiaMott,Feminist Humanist Liberal AF #Science #StillWithHer #BLM🗽🌊 ✡️#BidenHarris2020 #WearAMask😷#Vaccinated #BidenWon #TruthMatters I March for free 👠👠,Tiny drop of blue in BLUE GA,45431,47230,288709,4526,"BREAKING: A large Florida landlord announces that he will begin requiring all new and existing tenants to provide proof of COVID vaccination, saying, “You don't want to get vaccinated? You have to move, and if you don't, we will evict you.” RT IF YOU SUPPORT THE LANDLORD’S MOVE!",[]
10,Rajputmp32,,,30,3,7,57,"#IndiaFightsCorona:

📍More than 45.0 crore doses administered in first 85 days of the World's Largest Free-For-All Vaccination Drive launched on June 21, 2021. (As on September 14, 2021)

➡️ But this fight isn't over yet, strengthen the country's endeavour by getting #vaccinated https://t.co/VElBUetLgu",['IndiaFightsCorona']
11,gaybvny,"they/it | ⛏😳 | ☭ | 🔞@dumbbvny | 😓@sadbvny | 🎮@dblshine |  
💜@JadedFalco💜",home ♡,222,83,6081,0,"okok so covid is literally worse than it was at its last peak so
businesses can either
implement a proof of vaccination policy at their doors/covid quick test
OR
follow slightly better capacity restrictions (dw we wont actually pursue u if u dont do this haha)",[]
12,ABdoc4patients,"AB born & raised farm girl | 1st gen 🇨🇦| Mom of 4 | Wifey | #YEG Family Doc | Opinions & R/T my own | Here to listen, learn, advocate | she/her","Edmonton, Alberta",1497,4716,6612,0,"My phone just went off at work: Public health emergency #COVID19AB 

Restrictions, and businesses - “discretionary services” - can avoid restrictions by asking for vaccination proof or a negative #COVID19 test in the last 72 hours. https://t.co/h7kUz8NhB7","['COVID19AB', 'COVID19']"
