,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,jackcolleton,love animals and humanity. Peace and love.  Interested in medicine and science. Leave out water for animals!,,2308,2277,340958,21,"@disclosetv @Letram_Sorc There is no medical or epidemiological justification for vacinate all population, it is only intended to pressure to unvacinated for isue  the Covid pasport",[]
1,adeebrahman73,"Dear Twitter and @jack,
I am not an automated bot.",,4996,4706,499960,1,"@LelePeche @brettturner57 Oh, I am so very sorry for your child and your whole family.   #vacinate",['vacinate']
2,pkwoodard,Child of The King~Advocate for Foster Kids~Substitute teacher~Full time momma & Pamma~My family is my heartbeat❤️former fetus,,2576,719,4862,21,"@disclosetv @Letram_Sorc There is no medical or epidemiological justification for vacinate all population, it is only intended to pressure to unvacinated for isue  the Covid pasport",[]
3,devesh2504,"An ardent Modi follower and BJP supporter. राष्ट्र सदैव प्रथम।
🇮🇳 वंदेमातरम् 🙏",India,153,154,5523,0,"@harishbpuri @MJ_007Club There should be fair play. Milords to dispense off at least 50% of total pending cases and government to vacinate atleast 90% population. Otherwise, the Milords should stop poking nose in GOI work. Period.",[]
4,JeanWygmans,"Best sense of humor, retired science teacher, RESISTER, vote Blue, Mother, wife, Grandmother, loves all things Scotland,",,467,686,2058,1,"@LelePeche @brettturner57 Oh, I am so very sorry for your child and your whole family.   #vacinate",['vacinate']
5,Shekina93469516,"I am an alternative health practitioner and love helping people be well, balanced and enthusiastic about life",,8,0,3,0,"TO VACINATE/NOT VACINATE AGAINST COVID-19
I have not had great success with vaccines over the years and was reluctant to take the covid-19 shots.  My Husband is very active and got the virus. I decided to take the shot.  Self Preservation is better than rhetoric.",[]
6,DianeDE43706080,,,11,1,27,0,"@NatalieSuB It saddens me that there are not more people of faith. If I'm supposed to Die from Covid.
That has already been determined by my Lord.
If I choose  to not vacinate. Be a Ginny pig. That is my choice. I have Always vaccinated my children, myself.
I refuse to be a part of this.",[]
7,LorettaHousto20,"Love Animals & my Partner & family friends & experienced paranormal believe in ghosts,photography,travel & We have gone to afew haunted places",Australia Qld ,345,1045,108796,0,"It's Spring in Australia today I went out to explore the Lagoon view nursery lots of Birds,bees &amp; butterflies it's Great to Have the freedom to come here,there r lots of States here closed borders,lockdowns as @amyscrypt said some states have been very slow to vacinate ❤️🦜🦋🐝🌈 https://t.co/f4SGnge7uF",[]
8,alister_ware,"Telecoms engineer and general 'fiddler' with things I don't fully understand.
Social distancing since BEFORE it became fashionable",Sol III,390,136,9010,0,"Question
Have the #novax brigade who consider the vaccines not to have been thoroughly tested realised that there are 48 Million of us in the UK alone that have tested them now?
#covidiots #vacinate","['novax', 'covidiots', 'vacinate']"
9,FBenthos,Quiz team,,149,34,3299,0,"@suzseddon So, you've never been vacinate for anything ever ? Never had a blood transfusion ?

How did you manage that ?",[]
