,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Tony59715778,Handsome,,10,2,1556,15,"Trump's Sec. of State Pompeo 1st said #CCP fascist #China is responsible for Uyghur genocide. My political enemy #BeijingBiden has indicated that he is in general agreement w/ this designation. Now 89% of🇺🇸public see🇨🇳is🇺🇸's genocidal enemy w/ #WuhanVirus.
https://t.co/konvnKLUTa https://t.co/5zzvRyRDTk","['CCP', 'China']"
1,GraceHon19,‼️TODAY’S HK 🔜 FUTURE FREE WORLD‼️Hostage in HK 🆘 #SOSHK #StandWithHongKong #AntiChinazi,,478,297,41318,40,89% of Americans already see #CCP fascist #China is America's enemy. This number will help me to push through #WuhanVirus #Warreparations legislations in🇺🇸Congress to take away🇨🇳sovereign immunity so 665K+🇺🇸victim families &amp; 50 states can sue for Covid-19 damages.,"['CCP', 'China', 'WuhanVirus']"
2,melnyiam,"If you want the truth you must lean into the fear.
 Take the roadless traveled.",Los Angeles ,359,150,1290,0,But wait!! #CCP says #WuhanVirus is completely under control and there are no new cases except for imported ones https://t.co/0gVurt0XjJ,"['CCP', 'WuhanVirus']"
3,JessePolitic650,Government & Politics;,West TX,385,201,73510,0,"This couple is NOT #SocialDistancing.

Karen is watching.
 
#CoronaVirus #WuhanVirus #COVID19 #CCPVirus_JOKE

qt-covid19-jokes-016 by #BorderObserver https://t.co/y88tLDUyrb","['SocialDistancing', 'CoronaVirus', 'WuhanVirus', 'COVID19', 'CCPVirus_JOKE', 'BorderObserver']"
4,DKCooper2,Just me. An IAF veteran who has retired but not at heart.,India,1653,5117,43576,1,@business Whichever scientist wants to predict the behaviour of #WuhanVirus #Covid19 he/she is shooting in the dark at best.,"['WuhanVirus', 'Covid19']"
5,Mike88010483,like 60s muscle cars live music outdoors,"Anaheim, CA",359,106,13193,0,"Scott it's the #WuhanVirus TRUTH! 
COVID-19 is code for China did nothing wrong. According to Fauci. https://t.co/ILeMHy3EPt",['WuhanVirus']
6,sahil24sn,"Views are personal. Don't take them to heart. Likes, RTs not endorsements.",,793,170,38628,0,@mikepompeo Agree on #WuhanVirus #ChineseVirus . Disagree on Vaccine Mandate,"['WuhanVirus', 'ChineseVirus']"
7,ArtistGano,"A husband, father and Geopolitics Artivist",,1098,259,6704,0,"Very sensible view.
Working together with all Gov veins will enable the victory against #WuhanVirus https://t.co/wIMt5oc1cJ",['WuhanVirus']
8,JessePolitic650,Government & Politics;,West TX,385,201,73510,0,"#CCPVirus_JOKE

Tyrone Biggums will explain the new nursing home policy

Thanks @GhostOfBklyn 
 
#CoronaVirus #WuhanVirus #COVID19

qt-covid19-jokes-014 by #BorderObserver https://t.co/VdGLp6YPJ0","['CCPVirus_JOKE', 'CoronaVirus', 'WuhanVirus', 'COVID19', 'BorderObserver']"
9,TaylorIndiana,Veritas lux mea. Follower of conflict in MENA and Afghanistan. OSINT believer and against those who seek injustice in this world.,"Paris, France",229,115,8753,0,This is #china #chinazi #chinaexposed #chinataliban #chinavirus #wuhan #wuhanvirus #chinesevirus @WHO @MFA_China @ASEAN #Asia #USA #America #Europe #India #Australia #COVID19AB #corona #CCP #Wuhanlab #Uyghurs #Taiwan #HK #BoycottBeijing2022 https://t.co/FHTdfnAtrL,"['china', 'chinazi', 'chinaexposed', 'chinataliban', 'chinavirus', 'wuhan', 'wuhanvirus', 'chinesevirus', 'Asia', 'USA', 'America', 'Europe', 'India', 'Australia', 'COVID19AB', 'corona', 'CCP', 'Wuhanlab', 'Uyghurs', 'Taiwan', 'HK', 'BoycottBeijing2022']"
